BANK NAME,IFSC,OFFICE,ADDRESS,DISTRICT,CITY,STATE,PHONE
ANDHRA PRAGATHI GRAMEENA BANK,APGB0000001,RTGS-HO,"POST BOX 65, OPP OFFICERS' CLUB, KADAPA",CUDDAPAH,CUDDAPAH,ANDHRA PRADESH,222018
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001000,ANANTAPURAM RO,"ANDHRA PRAGATHI GRAMEENA BANK,REGIONAL OFFICE,OPP ZILLA PARISHAD OFFICE,DR.AMBEDKAR ROAD,ANANTAPURAM-515001",ANANTAPURAM,ANANTAPURAM,ANDHRA PRADESH,9490158012
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001001,LEPAKSHI,LEPAKSHI-515331 LEPAKSHI MANDAL ANANTAPUR DISTRICT,ANANTAPUR,LEPAKSHI,ANDHRA PRADESH,240475
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001002,ANANTAPUR  MAIN BRANCH,"ANANTAPUR  MAIN BRANCH  B.S.N. COMPLEX, RAJU ROAD,  ANANTAPUR,  ANANTAPUR DISTRICT. PIN 515001",ANANTAPUR,ANANTAPUR,ANDHRA PRADESH,221022
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001003,MUDDINAYANIPALLI,MUDDINAYANIPALLI-515761 KALYANADURG MANDAL ANANTAPUR DISTRICT,ANANTAPUR,MUDDINAYANIPALLI,ANDHRA PRADESH,200622
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001004,NUTHIMADUGU,NUTHIMADUGU-515787 KAMBADUR MANDAL ANANTAPUR DISTRICT,ANANTAPUR,NUTHIMADUGU,ANDHRA PRADESH,200633
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001005,MARALA,MARALA-515159 BUKKAPATNAM MANDAL ANANTAPUR DISTRICT,ANANTAPUR,MARALA,ANDHRA PRADESH,283620
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001006,A.KONDAPURAM,"A.KONDAPURAM, ARAKATIVEMULA (POST), PUTLUR (MANDAL),ANANTAPUR (DIST)- 515445",ANANTAPUR,TADPATRI,ANDHRA PRADESH,9490158190
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001007,PAMIDI,PAMIDI-515775 PAMIDI MANDAL ANANTAPUR DISTRICT,ANANTAPUR,PAMIDI,ANDHRA PRADESH,245088
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001008,KALASAMUDRAM,KALASAMUDRAM-515591 KADIRI MANDAL ANANTAPUR DISTRICT,ANANTAPUR,KALASAMUDRAM,ANDHRA PRADESH,251364
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001009,RAYALACHERUVU,RAYALACHERVU-515455 YADIKI MANDAL ANANTAPUR DISTRICT,ANANTAPUR,RAYALACHERUVU,ANDHRA PRADESH,277550
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001010,KODIKONDA,KODIKONDA-515601 CHILAMATHUR MANDAL ANANTAPUR DISTRICT,ANANTAPUR,KODIKONDA,ANDHRA PRADESH,243731
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001011,ROLLA,ROLLA-515321 ROLLA MANDAL ANANTAPUR DISTRICT,ANANTAPUR,ROLLA,ANDHRA PRADESH,289126
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001012,GUGUDU,GUGUDU-515435 NARPALA MANDAL ANANTAPUR DISTRICT,ANANTAPUR,GUGUDU,ANDHRA PRADESH,283913
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001013,RAMAPURAM(A),RAMAPURAM (A)- 515672 BATHALAPALLI MANDAL ANANTAPUR DISTRICT,ANANTAPUR,D.CHERLOPALLI,ANDHRA PRADESH,201814
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001014,NALLAMADA,NALLAMADA-515591 NALLAMADA MANDAL ANANTAPUR DISTRICT,ANANTAPUR,NALLAMADA,ANDHRA PRADESH,257508
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001015,OBULA DEVARA CHERUVU,OBULA DEVARA CHERUVU-515561 OBULA DEVARA CHERUVU MANDAL ANANTAPUR DISTRICT,ANANTAPUR,OBULA DEVARA CHERUVU,ANDHRA PRADESH,258842
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001016,SHETTUR,SHETTUR-515767 SHETTUR MANDAL ANANTAPUR DISTRICT,ANANTAPUR,SHETTUR,ANDHRA PRADESH,283553
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001017,D.HIREHAL,D.HIREHAL-515872 D.HIREHAL MANDAL ANANTAPUR DISTRICT,ANANTAPUR,D.HIREHAL,ANDHRA PRADESH,238432
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001018,GUMMAGATTA,GUMMAGATTA-515865 GUMMAGATTA MANDAL ANANTAPUR DISTRICT,ANANTAPUR,GUMMAGATTA,ANDHRA PRADESH,236708
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001019,SOMALAPURAM,SOMALAPURAM-515865 D.HIREHAL MANDAL ANANTAPUR DISTRICT,ANANTAPUR,SOMALAPURAM,ANDHRA PRADESH,255855
