BANK,IFSC,MICR,BRANCH,ADDRESS,CITY1,CITY2,STATE,STD CODE,PHONE
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000041,443364503,MEHKAR,"RAJIV GANDHI NAGAR PARISHAD COMMERCIAL COMPLEX, NEAR NAGAR PARISHAD, ATHAVADHI BAZAR, MEHKAR",BULDHANA,MEHKAR,MAHARASHTRA,7268,224555
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000040,445364503,WANI,NEAR ABAD BHAVAN TAOR CHOWK WANI 445304,YAVATMAL,WANI,MAHARASHTRA,7239,228383
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000039,443364502,LONAR,LONI ROAD PLOT NO4 SURVEY NO 168/4 LONAR 443302,BULDHANA,LONAR,MAHARASHTRA,7260,221288
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000038,400364003,VASHI,"SHIVAJI MARKET 2, GROUND FLOOR, SHOP NO 10,11,29,30, PLOT NO 8 9 , CROMA ROAD, SECTOR 19D, INFORNT OF APMC DANA MARKET, VASHI",THANE,NAVI MUMBAI,MAHARASHTRA,444703,2227831446
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000037,444364008,SINDHI CAMP,GURUNANAK VIDYALAY SINDHI CAMP PIN 444004,AKOLA,AKOLA,MAHARASHTRA,724,2442598
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000036,444364510,SHELU BAZAR,LAXMICHAND VIDYALAY SHELU BAZAR PIN 444402,WASHIM,SHELU BAZAR,MAHARASHTRA,7253,264769
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000035,422364002,NASIK,"SURVEY NO.718,1A,2B,3 PLOT NO.469,CANADA CORNER,NASIK PIN 422 005",NASIK,NASIK,MAHARASHTRA,253,2310481
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000033,452364002,INDORE,"CHETAK CENTRE,R.N.T.MARG,INDORE M.P.PIN 452 001",INDORE,INDORE,MADHYA PRADESH,731,2526287
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000032,450364002,BURHANPUR,"PARINISHA,SHANWARA GATE,BURHANPUR M.P. PIN 450 331",BURHANPUR,BURHANPUR,MADHYA PRADESH,7325,257901
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000031,445364502,PUSAD,"THAKUR MARKET,MAIN ROAD,PUSAD PIN 445 204",YAVATMAL,PUSAD,MAHARASHTRA,7233,248812
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000030,431364003,AURANGABAD,"AAKASHWANI CHOWK,JALNA ROAD,AURANGABAD PIN 431 001",AURANGABAD,AURANGABAD,MAHARASHTRA,240,2325141
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000029,444364508,CHANDUR RLY,"GANDHI CHOWK,MAIN ROAD,CHANDUR RAILWAY PIN 444 904",AMRAVATI,CHANDUR RLY,MAHARASHTRA,7222,254176
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000028,444364052,PARATWADA,"DURANI CHOWK,PARATWADA PIN 444 805",AMRAVATI,PARATWADA,MAHARASHTRA,7223,220192
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000027,400364002,KALBADEVI,"205,207,209 NARAYAN BANSILAL BLD.,KALBADEVI RD,IN FRONT OF JAIN MANDIR,KALBADEVI,MUMBAI PIN 400 002",MUMBAI,MUMBAI,MAHARASHTRA,22,22400251
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000026,431364101,NANDED,"GURUKRUPA MARKET,MAHAVIR CHOWK,VAZIRABAD,NANDED PIN 431 601",NANDED,NANDED,MAHARASHTRA,2462,230259
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000025,431364202,PARBHANI,"KACHHI BAZAR,PARBHANI PIN 431 401",PARBHANI,PARBHANI,MAHARASHTRA,2452,225010
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000024,443364501,MALKAPUR,"JANVAIBHAV,BHANSALI COMPLEX,BULDHANA ROAD,MALKAPUR PIN 443 101",BULDHANA,MALKAPUR,MAHARASHTRA,7267,223758
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000023,444364007,AKOT ROAD,"JANVAIBHAV,NEAR HOMEOPATHIC COLLEGE,AKOT ROAD,AKOLA PIN 444 003",AKOLA,AKOLA,MAHARASHTRA,724,2442484
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000022,444364006,MALKAPUR ROAD,"MAYUR COLONY,NEAR OCTRIO NAKA,MALKAPUR ROAD,AKOLA PIN 444 004",AKOLA,AKOLA,MAHARASHTRA,724,2458175
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000021,445364501,DIGRAS,"NETAJI CHOWK,MAIN ROAD,DIGRAS PIN 445 203",YAVATMAL,DIGRAS,MAHARASHTRA,7234,222584
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000020,440364002,NAGPUR,"SERVODAYA CLOTH MARKET,GANDHI BAUG,NAGPUR PIN 440 002",NAGPUR,NAGPUR,MAHARASHTRA,712,2772314
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000019,445364002,YAVATMAL,"DATTA CHOWK,YAVATMAL PIN 445 001",YAVATMAL,YAVATMAL,MAHARASHTRA,7232,246670
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000018,425364001,JALGAON,"91,NAVIPETH,NEAR L.I.C. OFFICE,JALGAON PIN 425 001",JALGAON,JALGAON,MAHARASHTRA,257,2220736
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000017,444364005,OLD CITY,"NEAR CHHAYA HOSPITAL,DABKI ROAD,OLD CITY,AKOLA PIN 444 001",AKOLA,AKOLA,MAHARASHTRA,724,2440424
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000016,444364302,KHAMGAON,"JANVAIBHAV,SHRIRAM CHOWK,PHARSHI ROAD,INFRONT OF SAHELE COMPLEX,KHAMGAON PIN 444 303",BULDHANA,KHAMGAON,MAHARASHTRA,7263,254592
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000015,444364101,AMRAVATI,"DEVHARI COMPLEX,NEAR VASANT TALKIES,JAISTAMBH CHOWK,AMRAVATI PIN 444 601",AMRAVATI,AMRAVATI,MAHARASHTRA,721,2576761
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000014,444364507,MANORA,"MAIN ROAD,MANORA PIN 444 404",WASHIM,MANORA,MAHARASHTRA,7253,263330
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000013,444364509,SHIRPUR,"OMKAR NAGRI,WARD NO.3,BEHIND BUS STAND,SHIRPUR PIN 444 504",WASHIM,SHIRPUR,MAHARASHTRA,7254,274018
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000012,444364152,AKOT,"AKOLA ROAD,SHIVAJI CHOWK,AKOT PIN 444101",AKOLA,AKOT,MAHARASHTRA,7258,222445
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000011,444364502,MURTIZAPUR,"HARIYA NAGAR,MAIN ROAD,MURTIZAPUR PIN 444107",AKOLA,AKOLA,MAHARASHTRA,7256,243205
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000010,444364004,GORAKSHAN ROAD,"PRABHU PLAZA, NEAR POWER HOUSE, GORAKSHAN ROAD, AKOLA PIN 444 004",AKOLA,AKOLA,MAHARASHTRA,724,2458851
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000009,444364003,TAPADIA NAGAR,"TATYASAHEB OKE MARG, JATHARPETH CHOWK, AKOLA PIN 444 005",AKOLA,AKOLA,MAHARASHTRA,724,2490714
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000008,444364002,TAJNAPETH,"SUBHASH ROAD, TAJNAPETH, AKOLA PIN 444 001",AKOLA,AKOLA,MAHARASHTRA,724,2436155
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000007,444364501,TELHARA,"MAIN ROAD, TELHARA PIN 444 108",AKOLA,TELHARA,MAHARASHTRA,7258,231595
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000006,444364506,KARANJA,"JANVAIBHAV, SHASIKANT TALKIES ROAD, KARANJA PIN 444 105",WASHIM,KARANJA,MAHARASHTRA,7256,222194
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000005,444364505,MANGRULPIR,"JANVAIBHAV, MAIN ROAD, MANGRULPIR PIN 444 403",WASHIM,MANGRULPIR,MAHARASHTRA,7253,260369
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000004,444364202,WASHIM,"JANVAIBHAV,RISOD NAKA, WASHIM PIN 444 505",WASHIM,WASHIM,MAHARASHTRA,7252,232190
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000003,444364504,RISOD,"JANVAIBHAV, MAIN ROAD, CIVIL LINE, RISOD PIN 4440506",WASHIM,RISOD,MAHARASHTRA,7251,222367
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000002,444364503,MALEGAON,"JANVAIBHAV, MAIN ROAD, MALEGAON PIN 444 503",WASHIM,MALEGAON,MAHARASHTRA,7254,271252
AKOLA JANATA COMMERCIAL COOPERATIVE BANK,AKJB0000001,444364001,RTGS-HO,"JANVAIBHAV,OLD COTTON MARKET,AKOLA,PIN 444001",AKOLA,AKOLA,MAHARASHTRA,0,0
